Sr No,Transaction Ref No,Value Date,Transaction Date,Cheque No,transaction_remarks,Withdrawal ,Deposit ,Balance
83,TXN293744,6/9/2024,6/9/2024 22:46,817833,ATM Withdrawal,0,3309,111697
84,TXN439031,18/09/2024,18/09/2024 15:29:54,861725,ATM Withdrawal,0,6202,117899
85,TXN484170,14/09/2024,14/09/2024 03:12:17,102211,,0,5158,123057
86,TXN903451,26/09/2024,26/09/2024 02:34:02,,Loan EMI,1221,0,121836
87,TXN693834,1/9/2024,1/9/2024 14:14,350874,IMPS Transfer,516,0,121320
88,TXN238096,1/9/2024,1/9/2024 19:37,309982,,0,3986,125306
89,TXN402640,20/09/2024,20/09/2024 15:06:24,,POS/Shopping,0,1791,127097
90,TXN143819,1/9/2024,1/9/2024 21:49,,UPI/Transfer,0,7876,134973
91,TXN145337,27/09/2024,27/09/2024 08:46:44,770585,,995,0,133978
92,TXN220896,19/09/2024,19/09/2024 10:47:52,443707,UPI/Transfer,0,2037,136015
93,TXN995492,3/9/2024,3/9/2024 19:26,,Misc Expense,0,9886,145901
94,TXN125613,17/09/2024,17/09/2024 10:48:14,178064,Interest Credit,1804,0,144097
95,TXN344785,30/09/2024,30/09/2024 22:42:14,,UPI/Transfer,0,4556,148653
96,TXN680725,19/09/2024,19/09/2024 23:28:55,250296,UPI/Transfer,4672,0,143981
97,TXN284410,16/09/2024,16/09/2024 15:26:46,327494,Loan EMI,0,8768,152749
98,TXN214656,2/9/2024,2/9/2024 1:49,978765,IMPS Transfer,3370,0,149379
99,TXN815334,24/09/2024,24/09/2024 03:43:45,514592,Loan EMI,738,0,148641
100,TXN686968,15/09/2024,15/09/2024 14:59:33,,POS/Shopping,3569,0,145072
